,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,189,31,149,4,4,124,4,132,124.0,"[0.0002, 3333.333008, 1000.0, 100.0, 50.0, 47.029449, 0.0, 0.289683, 3784.740967, 4710.511719, 9.266039, 30.59532, 48.213638, 2740.70874, 66.301346, 118.099579, 0.316444, 68.380272, 49.850334, 2647.611572, 28.619577, 47.029449, 3277.699219, 22.911394, 41.253475, 1.563726, 247.1931, 93.503029, 75.031693, 19.259117, 54.440186]"
38,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,69,31,29,4,4,4,4,132,4.0,[0.216449]
39,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,265,31,225,4,4,200,4,132,200.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,125,31,85,4,4,60,8,132,60.0,"[0.0, 2.0, 8000.0, 100.0, 100.0, 0.5, 5000.0, 100.0, 100.0, 0.0002, 3333.333008, 100.0, 100.0, 0.0, 0.0]"
41,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,73,31,33,4,4,8,9,132,8.0,"[0.0, 0.0]"
42,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,97,31,57,4,4,32,3,132,32.0,"[0.0, 0.000723, 0.0, -0.001447, -0.000723, 711.089417, 0.0, 0.0]"
43,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,185,31,145,4,4,120,4,132,120.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,110,31,70,4,4,45,4,132,45.0,[]
45,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,189,31,149,4,4,124,4,132,124.0,"[0.0002, 3333.333008, 1000.0, 100.0, 50.0, 48.385841, 0.0, 0.289175, 3771.62085, 4736.030273, 9.262191, 31.061396, 48.086147, 2767.494385, 65.716522, 116.795044, 0.376256, 67.555237, 50.264317, 2665.269775, 28.251631, 48.385841, 3298.519531, 22.864126, 41.346535, 0.986989, 249.697418, 103.421791, 73.084953, 19.259117, 54.440186]"
46,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,69,31,29,4,4,4,4,132,4.0,[0.216714]
47,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,265,31,225,4,4,200,4,132,200.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,125,31,85,4,4,60,8,132,60.0,"[0.0, 2.0, 8000.0, 100.0, 100.0, 0.5, 5000.0, 100.0, 100.0, 0.0002, 3333.333008, 100.0, 100.0, 0.0, 0.0]"
49,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,73,31,33,4,4,8,9,132,8.0,"[0.0, 0.0]"
